age,ind,baplus,topincome
29,6890,0,0
51,6890,1,1
56,7380,0,0
55,5391,0,0
56,3960,1,1
59,7270,1,1
61,6992,1,1
46,6070,1,1
50,7460,1,1
57,6970,0,1
49,7870,0,0
52,9370,0,0
60,7870,1,1
57,7970,1,1
63,770,0,1
41,7290,0,0
26,7860,0,0
46,9470,0,0
28,7290,0,0
53,6570,1,1
38,5593,1,1
32,7870,1,0
29,6970,0,0
37,7071,0,1
52,7270,1,1
32,7470,0,0
38,3390,1,0
46,7380,1,1
49,7580,0,1
38,6970,1,1
48,7380,1,1
65,7870,1,1
38,8562,0,0
66,3970,0,0
50,6480,0,1
44,7290,1,1
41,8191,1,1
35,7071,0,0
44,7380,0,1
61,6970,0,1
53,7870,1,0
38,7980,0,0
65,1590,0,0
47,7970,0,0
42,6870,0,0
58,6672,1,1
49,4890,1,1
56,8090,1,1
30,7280,0,0
28,6890,0,1
39,3365,1,1
39,770,0,0
46,6970,1,1
51,7270,1,1
48,9470,1,1
28,9690,1,0
59,7290,0,1
32,7490,0,0
25,5070,0,0
27,6570,0,0
68,3960,0,1
58,7290,0,1
45,7380,0,0
40,6991,0,1
59,2190,1,1
34,7270,1,1
51,7380,0,0
55,7270,1,1
25,6490,0,0
36,8191,1,1
53,7390,1,0
64,7860,1,0
44,2190,0,0
61,3580,0,0
46,7970,1,1
37,6570,1,1
39,6570,1,1
46,7970,1,1
31,6672,0,1
43,7590,0,0
32,590,0,0
56,5790,0,1
51,770,0,0
30,3580,1,0
26,7280,0,0
50,9470,0,0
45,7380,0,0
36,7870,1,0
47,4470,1,1
39,3390,1,0
29,6570,0,0
44,7870,1,0
64,7290,0,1
32,6695,0,1
45,7870,0,1
44,7890,0,0
47,6991,1,1
70,6870,1,1
53,6672,1,1
63,4560,1,0
61,1280,0,1
39,7870,1,0
65,8370,1,1
30,6970,0,0
63,7860,1,0
39,6672,1,1
40,7570,0,0
55,1490,0,0
41,7290,0,1
54,7380,0,0
46,8590,1,0
52,7270,1,1
48,2190,0,0
33,4170,0,1
42,6570,0,0
62,8191,1,1
57,6970,0,1
36,7380,1,1
64,9160,1,0
62,7280,0,0
40,6570,0,1
53,7860,1,0
54,3365,1,1
54,7280,1,0
41,8191,1,1
54,6991,0,1
27,9470,0,0
57,6890,0,1
52,770,0,1
40,7490,0,0
49,4971,0,1
29,6672,0,1
51,7380,1,1
54,7390,1,1
53,9370,0,0
40,3580,1,0
41,7380,0,1
28,7290,0,0
61,7380,1,0
59,6991,0,1
38,6672,0,0
53,8680,0,0
58,4570,0,0
51,7870,1,1
57,6180,1,0
58,7590,0,1
38,7390,0,1
60,6870,0,1
60,4770,0,0
50,6890,0,0
37,3390,1,1
35,3580,1,0
32,7780,0,0
38,4980,1,0
36,7380,1,0
31,8680,0,0
57,6070,1,1
42,6570,0,1
36,180,0,0
67,3380,0,0
51,9470,0,0
63,7390,1,1
38,7072,0,0
60,8191,1,1
33,7270,1,1
38,6672,1,0
43,6490,1,1
52,7860,1,0
45,3390,0,0
41,7380,1,1
38,7270,1,0
33,6672,0,1
55,7380,0,1
30,7470,0,0
58,7270,1,1
49,6780,0,1
41,6870,1,1
28,7860,1,0
63,8191,1,0
28,7870,1,0
58,6870,0,1
49,7970,1,1
35,6970,1,1
53,7380,0,1
58,7970,1,1
56,7190,1,1
52,6890,1,1
56,9370,0,0
35,6672,0,1
37,8370,0,0
47,3390,1,1
53,2270,1,1
47,7380,1,1
60,6970,0,1
39,7860,1,0
57,6970,1,1
36,3580,0,0
53,3960,0,1
50,3291,0,0
36,8191,1,1
55,4971,0,0
57,7290,0,0
35,6490,0,0
41,6672,0,1
54,4795,0,1
28,3580,1,0
30,570,1,1
45,7380,0,1
29,670,0,0
58,8191,1,1
59,7380,0,0
25,9590,0,0
43,7390,1,1
43,7071,0,1
41,3390,0,0
25,7071,0,0
48,6490,1,0
26,9680,0,0
63,6090,0,0
27,7380,0,0
57,9490,0,0
29,6570,0,0
49,4795,1,0
54,7870,0,0
29,7460,1,0
51,4195,1,1
45,7270,1,1
48,1990,1,1
36,6080,0,0
44,7970,1,1
61,2190,0,0
48,6672,0,1
36,8191,1,0
37,770,1,0
59,2670,0,0
54,9370,1,1
41,1370,0,0
35,7380,0,1
58,7870,1,0
34,8191,1,1
43,7380,1,1
54,7870,1,1
28,7380,0,1
25,9770,0,0
50,6970,1,1
41,7860,1,0
26,7580,0,0
51,7670,0,1
54,6970,1,1
44,4090,0,0
55,8191,1,1
40,8090,1,0
54,6970,1,1
65,7380,1,0
28,7290,0,0
39,7181,1,1
61,7380,1,1
48,770,0,0
35,8191,1,1
35,7860,1,0
62,6870,0,1
61,7390,0,0
61,2280,0,0
70,4971,0,1
56,7072,0,0
37,8180,1,0
61,9170,0,0
55,7970,1,1
54,9080,0,0
45,6970,1,1
61,3580,0,1
40,8370,1,1
40,3960,1,0
28,9690,0,0
46,1080,0,0
53,6070,0,0
51,7460,1,0
54,9480,1,1
53,6672,1,1
68,7270,1,1
61,9370,1,0
31,7071,1,1
40,7380,0,0
36,6870,1,0
57,8191,1,1
40,6672,1,0
45,7380,1,1
55,8191,1,1
37,8191,1,0
56,8680,0,1
64,8090,1,0
49,7380,0,1
45,570,1,1
38,6870,1,0
32,8191,1,1
55,7280,0,0
57,7970,0,1
34,7380,1,1
31,7380,0,1
34,3095,0,0
28,4390,0,0
34,6670,0,1
46,7380,1,1
37,7280,0,1
32,7380,1,0
28,7970,0,0
56,7270,1,0
34,6672,1,1
54,3960,0,0
66,7970,1,1
56,9190,0,0
66,3980,0,0
55,770,0,0
45,7860,1,0
29,4795,0,0
56,3590,1,0
56,7580,1,1
59,770,0,1
51,6870,0,1
47,170,1,0
62,6570,0,1
39,7680,0,0
25,8370,1,0
52,7460,1,1
60,8470,0,0
48,7870,1,0
45,7071,0,1
27,7290,0,0
36,6991,1,1
51,7380,0,1
52,7380,1,1
63,5080,1,1
61,9160,0,0
45,290,0,0
29,7870,0,0
34,8191,1,1
39,7970,1,1
47,7470,1,1
36,6991,0,0
32,4470,1,1
68,8590,0,0
