age,ind,baplus,topincome
57,6180,1,NA
53,7380,0,1
40,4990,0,1
60,7071,0,NA
57,7380,1,NA
26,3170,0,NA
53,7870,1,NA
59,7290,0,NA
48,3580,1,NA
39,3365,1,1
55,7380,1,NA
25,6672,0,1
67,9480,1,NA
42,6870,0,NA
58,7270,1,1
41,5580,0,1
31,6070,0,NA
45,7290,1,NA
37,6695,1,1
39,6570,1,NA
51,7380,0,1
38,9770,0,NA
50,7870,0,NA
57,7860,1,NA
43,4370,0,NA
43,7970,1,1
36,6870,1,1
55,9590,1,NA
57,6970,0,NA
40,6690,0,NA
30,7071,0,1
61,6290,1,1
56,3390,1,NA
45,1190,0,NA
69,6970,1,1
59,7280,0,1
65,7890,0,NA
70,7870,1,1
34,9470,1,NA
59,6070,0,1
56,9590,0,NA
67,8680,0,NA
48,3960,0,1
55,9490,1,NA
59,1280,1,1
36,6490,1,1
41,7380,1,NA
36,6570,1,NA
68,7580,1,1
57,6970,0,1
62,7270,1,NA
65,7970,1,1
49,6970,0,1
58,8370,1,NA
55,8191,1,1
59,7290,1,1
32,1990,1,NA
41,190,0,NA
55,1280,1,NA
27,9590,1,NA
33,6970,0,1
28,2370,1,NA
49,7390,1,1
47,9370,0,NA
65,470,0,NA
62,7380,0,NA
27,7860,0,NA
35,3291,0,NA
30,7870,0,NA
41,7290,0,1
69,7460,0,NA
45,5593,0,NA
51,6870,1,1
41,8191,1,NA
63,3390,0,NA
59,7780,1,NA
60,7490,0,1
46,7860,1,NA
31,7380,0,1
61,8191,1,1
56,7580,1,1
52,7860,0,NA
63,770,1,1
33,6970,0,NA
58,8191,1,1
47,3390,0,1
41,6672,1,1
53,7270,1,NA
57,4470,0,NA
55,5593,1,1
47,290,1,NA
43,8191,1,1
31,7071,1,NA
65,7390,0,1
56,7860,1,NA
46,6970,1,1
30,6672,1,NA
31,6870,0,NA
33,7290,0,1
39,7270,1,NA
56,7570,1,1
52,7280,0,NA
63,7860,0,NA
58,4265,0,1
39,6672,1,1
37,9160,1,NA
62,7860,1,NA
29,6970,1,1
59,770,0,NA
44,6672,1,1
55,3580,1,1
29,770,0,NA
61,9490,0,NA
48,7460,1,1
35,7290,1,NA
53,3960,0,1
52,7270,1,1
44,6991,0,1
57,7870,1,1
49,7380,1,NA
48,6695,1,1
49,7380,1,1
39,6670,1,1
38,8180,1,1
50,8191,1,1
62,3580,0,NA
57,7071,0,NA
47,3390,0,1
68,7870,1,NA
41,7460,0,NA
32,7470,0,NA
51,7870,1,1
35,6672,1,1
33,5070,1,NA
58,6870,0,1
60,4570,0,1
30,9470,0,NA
54,5593,1,1
48,6672,0,1
39,7870,1,1
67,7071,0,NA
36,7380,1,NA
65,3590,1,1
44,7470,0,NA
53,6672,1,1
59,6870,1,1
57,6870,0,1
25,5170,0,NA
59,770,0,1
39,5593,0,1
46,3390,1,1
35,6991,0,NA
49,6870,0,1
41,7460,1,1
45,8191,1,1
62,7870,1,NA
46,6890,1,1
31,3380,1,1
59,3390,1,1
35,7071,0,NA
37,6570,0,1
48,5593,0,1
40,7460,0,1
69,2070,0,NA
45,9470,0,NA
50,9170,0,NA
61,7860,0,NA
48,6672,1,1
33,6670,0,NA
50,6672,0,1
59,5170,0,NA
52,5370,0,1
50,3490,1,NA
52,7780,0,1
36,3960,0,NA
68,7870,1,1
45,6490,1,1
38,7380,1,NA
38,7270,1,1
25,4971,0,NA
58,8191,1,1
49,8191,0,NA
37,3980,0,NA
65,6970,1,NA
62,4795,1,NA
50,2370,0,NA
66,8180,1,1
45,3390,1,NA
38,4980,1,NA
43,6670,1,NA
41,8191,0,NA
67,5280,0,NA
65,8191,1,NA
36,3365,0,1
63,6670,0,1
40,4470,1,NA
62,8191,1,1
36,6970,0,1
51,6970,1,1
33,7380,1,NA
52,7460,1,1
64,6991,1,NA
59,7280,0,1
25,3570,0,NA
51,7870,1,NA
63,8191,1,1
44,7380,0,1
39,6570,1,1
51,6870,0,1
35,7190,0,NA
25,8680,0,NA
49,6670,1,1
51,6570,0,NA
40,4265,0,NA
70,6992,0,NA
57,3580,1,NA
47,4380,0,1
31,7290,1,1
67,6991,1,1
35,7380,0,1
59,3390,1,1
53,7460,1,NA
38,4795,1,1
34,6672,1,1
36,6870,1,NA
46,6690,1,1
59,3390,0,1
58,7870,1,1
38,7860,1,NA
35,7860,1,NA
57,6870,1,1
44,7390,1,NA
28,6672,0,NA
53,2270,1,1
68,8191,1,NA
49,9470,1,NA
56,8090,0,NA
27,6690,0,NA
44,7380,0,NA
69,6170,0,NA
63,5080,1,1
56,9370,0,NA
52,7270,1,1
49,6970,0,NA
41,6070,0,NA
43,6970,1,1
37,6970,1,1
43,3390,0,NA
41,7870,1,NA
54,570,0,NA
33,6490,0,NA
63,770,0,1
50,7870,0,NA
58,7270,1,1
58,3390,1,1
49,7860,0,NA
34,7270,1,NA
36,7380,1,1
54,3390,0,NA
46,6670,0,1
47,7380,1,1
58,7270,1,1
56,7460,1,1
51,690,0,NA
36,9690,1,NA
25,6190,0,NA
30,6890,0,NA
55,9380,0,NA
57,6880,0,NA
46,6890,0,1
40,6570,0,1
39,3570,0,1
43,9470,0,NA
