age,married,ind,baplus,topincome
65,0,9160,1,0
27,0,9670,0,0
54,0,7580,0,0
26,1,7870,0,0
30,0,7860,0,0
30,0,7860,0,0
26,1,7870,0,0
63,1,9160,0,0
58,0,9160,1,0
65,0,9160,1,0
30,0,7860,0,0
57,0,7870,1,0
57,0,7870,1,0
27,0,770,0,0
26,0,9690,0,0
68,0,7860,1,0
63,1,9160,0,0
63,1,9160,0,0
54,0,7580,0,0
27,0,3291,0,0
25,0,9470,0,0
57,0,7870,1,0
68,0,7860,1,0
54,0,7580,0,0
65,0,9160,1,0
25,0,4870,0,0
58,0,9160,1,0
68,0,7860,1,0
58,1,9690,1,0
49,0,9160,0,0
54,0,7580,0,0
49,0,9160,0,0
57,0,7870,1,0
36,1,9690,0,0
58,0,9160,1,0
25,0,4870,0,0
26,0,7870,0,0
28,0,9680,1,0
58,0,9160,1,0
65,0,9160,1,0
25,0,4870,0,0
26,1,9690,0,0
35,0,9690,0,0
29,0,7470,0,0
29,0,7860,0,0
50,1,7870,1,0
58,1,3990,0,0
25,0,7860,0,0
62,1,7860,1,0
44,1,3580,0,0
65,1,7870,1,0
30,0,8680,0,0
56,1,8090,1,0
67,1,7270,1,0
35,1,3580,1,0
33,0,7072,0,0
40,0,6870,1,0
26,0,7870,0,0
44,1,7380,0,0
30,1,3580,1,0
55,1,7290,0,0
55,1,3390,1,0
40,1,7970,1,0
54,1,3490,0,0
61,1,6570,0,0
62,1,7580,0,0
44,1,9470,0,0
38,1,7280,0,0
37,1,6570,0,0
43,0,7870,1,0
27,0,4795,0,0
40,1,9180,0,0
43,1,8191,1,0
49,1,7860,1,0
28,0,3960,0,0
51,1,6970,0,0
66,1,7870,1,0
54,0,7380,1,0
57,1,7290,0,0
33,0,8680,0,0
47,1,9370,0,0
29,0,6490,0,0
54,1,6890,1,0
50,1,6480,0,0
47,1,3380,0,0
45,1,2370,0,0
50,0,4795,0,0
41,1,7290,1,0
61,1,3291,1,0
42,0,6380,0,0
31,1,9470,0,0
61,1,7460,1,0
57,1,570,1,0
57,0,9570,0,0
47,1,9160,0,0
63,1,9570,0,0
70,0,9170,0,0
62,1,9160,0,0
64,1,6970,0,0
51,1,4270,0,0
54,0,8191,1,0
34,0,3580,1,0
65,1,6380,1,0
31,0,7270,1,0
32,0,6670,1,0
38,1,7770,0,0
58,1,6570,1,0
36,0,7270,1,0
33,1,7790,1,0
60,1,3580,0,0
49,1,7860,1,0
31,0,7680,1,0
27,0,6890,1,0
57,0,4390,0,0
34,1,7380,0,0
39,1,7380,0,0
43,1,7380,0,0
56,0,8660,0,0
25,1,5275,1,0
50,1,7460,0,0
53,1,770,1,0
68,0,6570,1,0
54,1,7860,1,0
43,0,8570,1,0
42,1,3390,0,0
49,0,8680,0,0
34,0,7870,0,0
37,0,7380,0,0
52,0,770,1,0
56,0,7860,1,0
28,0,8590,0,0
50,1,8564,0,0
59,1,7290,1,0
30,1,7380,0,0
62,1,8090,1,0
50,1,6970,0,0
42,0,770,0,0
33,1,7380,1,0
38,0,670,0,0
51,0,8680,0,0
35,1,8191,0,0
63,1,6390,0,0
34,1,6970,0,0
50,1,6070,1,0
32,0,6670,0,0
64,1,7860,1,0
56,1,6670,0,0
41,0,7860,1,0
56,1,7380,0,0
44,1,7690,0,0
57,1,8180,0,0
43,1,7860,1,0
60,1,3365,0,0
27,0,4670,0,0
49,1,7071,1,0
32,1,8590,1,0
63,1,3580,0,0
65,1,9160,0,0
46,1,6670,0,0
27,0,5593,0,0
70,0,570,1,0
43,1,7970,1,0
54,1,3680,0,0
27,0,9170,1,0
31,1,9470,0,0
63,1,9160,1,0
34,1,5080,0,0
61,1,7380,1,0
63,1,7860,0,0
53,0,7870,1,0
49,1,770,0,0
34,1,7380,0,0
59,1,3390,0,0
48,0,7860,0,0
50,0,1280,0,0
36,1,8680,0,0
53,1,5090,0,0
56,0,6992,0,0
39,1,9170,1,0
42,1,8570,1,0
45,1,3370,1,0
51,0,1370,1,0
40,1,6390,0,0
61,1,8191,0,0
32,0,4795,0,0
59,0,6991,0,0
27,0,9370,0,0
43,1,9370,1,0
29,1,7870,0,0
25,0,9470,0,0
37,1,7370,0,0
67,0,7071,1,0
56,1,6672,1,0
36,1,7290,1,0
60,1,7290,0,0
43,1,7870,1,0
39,1,7380,0,0
60,1,6970,0,0
61,0,5790,1,0
39,1,7460,0,0
36,0,7470,1,0
35,1,3380,0,0
30,1,9470,0,0
67,1,7380,1,0
42,1,7860,0,0
40,1,7280,0,0
46,1,3365,1,0
